iter	Passed	Remaining
850	22340	3911
851	22364	3884
852	22387	3858
853	22413	3831
854	22434	3804
855	22459	3778
856	22486	3752
857	22510	3725
858	22532	3698
859	22560	3672
860	22586	3646
861	22611	3619
862	22640	3594
863	22671	3568
864	22702	3543
865	22734	3517
866	22765	3492
867	22794	3466
868	22818	3439
869	22840	3412
870	22862	3385
871	22885	3359
872	22906	3332
873	22931	3305
874	22955	3279
875	22976	3252
876	22999	3225
877	23025	3199
878	23053	3173
879	23081	3147
880	23105	3120
881	23128	3094
882	23150	3067
883	23172	3040
884	23195	3014
885	23218	2987
886	23244	2961
887	23268	2934
888	23293	2908
889	23318	2882
890	23341	2855
891	23365	2829
892	23391	2802
893	23418	2776
894	23441	2750
895	23465	2723
896	23493	2697
897	23517	2671
898	23540	2644
899	23565	2618
900	23586	2591
901	23608	2564
902	23629	2538
903	23652	2511
904	23679	2485
905	23704	2459
906	23728	2433
907	23751	2406
908	23776	2380
909	23797	2353
910	23821	2327
911	23844	2300
912	23867	2274
913	23891	2247
914	23916	2221
915	23945	2195
916	23969	2169
917	23994	2143
918	24020	2117
919	24047	2091
920	24075	2065
921	24100	2038
922	24123	2012
923	24147	1986
924	24173	1959
925	24198	1933
926	24226	1907
927	24253	1881
928	24277	1855
929	24297	1828
930	24319	1802
931	24341	1776
932	24364	1749
933	24388	1723
934	24412	1697
935	24436	1670
936	24460	1644
937	24487	1618
938	24512	1592
939	24538	1566
940	24562	1540
941	24584	1513
942	24606	1487
943	24630	1461
944	24654	1434
945	24679	1408
946	24701	1382
947	24726	1356
948	24748	1330
949	24772	1303
950	24793	1277
951	24816	1251
952	24837	1224
953	24858	1198
954	24881	1172
955	24903	1146
956	24926	1120
957	24951	1093
958	24976	1067
959	25002	1041
960	25027	1015
961	25051	989
962	25074	963
963	25097	937
964	25119	911
965	25141	884
966	25166	858
967	25190	832
968	25215	806
969	25237	780
970	25265	754
971	25293	728
972	25320	702
973	25344	676
974	25369	650
975	25391	624
976	25415	598
977	25438	572
978	25463	546
979	25487	520
980	25509	494
981	25536	468
982	25561	442
983	25586	416
984	25612	390
985	25635	363
986	25661	337
987	25686	311
988	25711	285
989	25735	259
990	25759	233
991	25785	207
992	25811	181
993	25834	155
994	25857	129
995	25880	103
996	25905	77
997	25929	51
998	25951	25
999	25975	0
